round,rank_at_labeling,drive_id,segment,t_start,t_end,t_in_segment_s,event_types_at_labeling,verdict,risky,note
1,1,b0c9d2329ad1606b|2018-07-30--13-44-30,11,13042.755205810545,13062.505205810316,4.78,hard_steer|lane_change_candidate|risky_lane_change|short_thw,リスク高,True,右レーンにいた車が車線変更し、自車も左レーンに移動
1,2,b0c9d2329ad1606b|2018-08-16--21-52-30,5,17537.95120217634,17567.151202175974,43.85,hard_steer|lateral_accel|low_ttc|weaving,通常運転,False,バイパスへの左分岐。映像上、前車への接近なし
1,3,b0c9d2329ad1606b|2018-07-30--13-03-07,22,11248.928282272742,11258.078282272669,33.79,lane_change_candidate|low_ttc|risky_lane_change,通常運転,False,前方車あり、適切な車間。low_ttc は lead tracking 由来の誤検出疑い
1,4,b0c9d2329ad1606b|2018-07-30--13-44-30,8,12889.15520581278,12899.005205812697,31.2,lane_change_candidate|risky_lane_change|short_thw,通常運転,False,一般的な車線変更
1,5,b0c9d2329ad1606b|2018-08-17--14-17-47,12,77054.61871777593,77072.06871777671,24.06,hard_steer|lane_change_candidate|lateral_accel|low_ttc,通常運転,False,一般道から高速への左折・合流。low_ttc は旋回時の lead association 誤りの可能性
1,6,b0c9d2329ad1606b|2018-07-29--12-02-42,30,4657.289341828007,4664.6393418280195,3.85,hard_steer|lateral_accel|low_ttc,通常運転,False,停止状態から信号が切り替わり左折
1,7,b0c9d2329ad1606b|2018-07-29--16-37-17,5,19643.614666807225,19652.11466680716,14.77,hard_steer|lateral_accel|low_ttc,通常運転,False,右折場面での低速走行。周囲に車なし
1,8,b0c9d2329ad1606b|2018-08-02--16-41-38,14,74097.16506414874,74112.36506414939,38.02,hard_steer|low_ttc,通常運転,False,緩く右に曲がる道。適度な車間
1,9,b0c9d2329ad1606b|2018-07-29--12-02-42,28,4551.539341827623,4562.9393418276495,18.12,hard_steer|low_ttc,通常運転,False,右カーブ後に左折。14秒付近に未検出の narrow-gap passage あり
1,10,b0c9d2329ad1606b|2018-07-31--20-50-28,7,686.0630837591966,698.413083759189,28.9,low_ttc|weaving,通常運転,False,左折場面
1,11,b0c9d2329ad1606b|2018-07-30--13-44-30,12,13114.4552058095,13126.80520580938,16.5,hard_brake|short_thw,通常運転,False,ブレーキ場面ではあるが急ブレーキというほどではない
1,12,b0c9d2329ad1606b|2018-08-17--14-55-39,1,78643.11581785034,78650.36581785064,0.6,hard_accel|hard_brake,リスク高,True,—
1,13,b0c9d2329ad1606b|2018-07-29--11-17-20,4,374.11376112801463,379.56376112801496,2.84,low_ttc,通常運転,False,大きく右に曲がる場面で低速走行
2,16,b0c9d2329ad1606b|2018-07-30--13-44-30,10,13023.90520581082,13038.055205810671,45.95,short_thw|weaving,若干リスクあり,True,車間がつまっており自車も他車も車線変更。比較的低速
2,19,b0c9d2329ad1606b|2018-07-27--06-03-57,11,9804.710267896842,9815.06026789675,10.54,short_thw|weaving,通常運転,False,左レーンから追い越し気味に車が入るがリスクは低い
2,29,b0c9d2329ad1606b|2018-08-15--09-01-03,21,422540.75238006137,422549.2523800603,27.51,short_thw,リスク高い,True,右レーンから車が前方近くに入ってきておりリスクが高い
2,32,b0c9d2329ad1606b|2018-08-17--14-17-47,13,77143.31871778109,77149.36871778121,52.75,hard_brake,通常運転,False,左折してショッピングモール駐車場へ。周囲に車なし
2,40,b0c9d2329ad1606b|2018-08-03--10-35-16,12,2109.816056216027,2116.5660562160247,35.16,short_thw,リスクあり,True,右レーンから車が前方近くに入ってきておりリスクが高い
2,41,b0c9d2329ad1606b|2018-07-30--13-03-07,20,11113.828282274708,11118.828282274691,18.7,short_thw,若干リスクあり,True,左レーンから追い越し気味に車が入ってきている
2,43,b0c9d2329ad1606b|2018-08-14--10-32-01,38,342640.4084014926,342649.75840149133,49.04,hard_brake,ややリスクあり,True,赤信号で減速。ブレーキを踏むのが若干遅れている
2,47,b0c9d2329ad1606b|2018-08-01--21-13-49,5,3482.768918213121,3488.668918213128,31.95,hard_brake,通常運転,False,赤信号のため減速停止
2,61,b0c9d2329ad1606b|2018-07-29--11-17-20,6,543.3137611280531,552.6637611280544,52.03,weaving,通常運転,False,蛇行ではないが右に2レーン分車線変更
2,62,b0c9d2329ad1606b|2018-07-27--06-03-57,5,9451.71026790198,9459.560267901925,17.54,weaving,通常運転,False,蛇行運転ではない
2,63,b0c9d2329ad1606b|2018-07-27--06-50-48,13,12775.93296031734,12798.732960317067,50.5,weaving,通常運転,False,特に問題なし
2,64,b0c9d2329ad1606b|2018-08-03--10-35-16,15,2267.9660562158833,2277.266056215878,13.31,weaving,通常運転,False,問題なし
2,65,b0c9d2329ad1606b|2018-07-27--06-03-57,7,9567.0602679003,9577.9102679002,12.88,weaving,通常運転,False,問題なし
2,71,b0c9d2329ad1606b|2018-08-03--10-35-16,14,2251.2160562158983,2256.266056215897,56.57,hard_accel,通常運転,False,渋滞停止からの発進。特に問題なし
2,79,b0c9d2329ad1606b|2018-08-17--14-17-47,9,76883.91871776599,76894.11871776635,33.33,lane_change_candidate,通常運転,False,合流地点だが車線変更はなし
2,80,b0c9d2329ad1606b|2018-08-17--14-55-39,6,78958.51581786881,78967.81581786912,15.98,lane_change_candidate,通常運転,False,車線変更はあり
2,85,b0c9d2329ad1606b|2018-08-02--08-34-47,37,46263.46549791705,46267.91549791708,34.87,hard_steer,若干リスクあり,True,右レーンへ移動しようとしたが前方車が減速したため中止
2,91,b0c9d2329ad1606b|2018-07-27--06-50-48,11,12646.73296031922,12651.232960319214,41.3,hard_steer,通常運転,False,レーン中央に戻るため一瞬ハンドルを切った。雨天夜間で視界不良
2,92,b0c9d2329ad1606b|2018-08-01--21-13-49,11,3841.168918214425,3845.668918214427,30.38,hard_steer,通常運転,False,ゆるく左に曲がる道。急操舵の場面はない
